sfari_humanID,sfari_geneticCategory,sfari_geneScore,sfari_syndromic,sfari_numberReports
ENSG00000105851,Genetic Association,3,0,4
ENSG00000105647,"Rare Single Gene Mutation, Syndromic",S,1,6
ENSG00000069011,"Rare Single Gene Mutation, Genetic Association",3,0,6
ENSG00000181191,Syndromic,3,0,1
ENSG00000011422,"Rare Single Gene Mutation, Genetic Association",3,0,2
ENSG00000182621,Rare Single Gene Mutation,2,0,7
ENSG00000115556,Rare Single Gene Mutation,3,0,3
ENSG00000198523,Rare Single Gene Mutation,3,0,4
ENSG00000130827,"Rare Single Gene Mutation, Syndromic",3,0,7
ENSG00000221866,"Rare Single Gene Mutation, Functional",2,0,5
ENSG00000164050,Rare Single Gene Mutation,2,0,3
ENSG00000130653,Rare Single Gene Mutation,3,0,3
ENSG00000143442,"Rare Single Gene Mutation, Syndromic, Functional",1,1,44
ENSG00000014138,Rare Single Gene Mutation,3,0,2
ENSG00000085998,"Rare Single Gene Mutation, Syndromic",1,1,6
ENSG00000130714,Rare Single Gene Mutation,3,0,3
ENSG00000128513,Rare Single Gene Mutation,3,0,1
ENSG00000198914,Syndromic,S,1,1
ENSG00000131626,Rare Single Gene Mutation,3,0,3
ENSG00000170836,"Rare Single Gene Mutation, Syndromic",S,1,7
ENSG00000113575,"Rare Single Gene Mutation, Syndromic",S,1,2
ENSG00000137713,Rare Single Gene Mutation,3,0,7
ENSG00000112640,"Rare Single Gene Mutation, Syndromic",1,1,20
ENSG00000124126,"Rare Single Gene Mutation, Genetic Association",2,0,3
ENSG00000139174,"Rare Single Gene Mutation, Syndromic, Functional",2,0,5
ENSG00000163637,"Rare Single Gene Mutation, Functional",2,0,5
ENSG00000188191,"Rare Single Gene Mutation, Syndromic",3,0,5
ENSG00000154229,Rare Single Gene Mutation,3,0,4
ENSG00000166501,"Rare Single Gene Mutation, Genetic Association",2,0,7
ENSG00000184304,"Rare Single Gene Mutation, Syndromic",S,1,4
ENSG00000105287,Rare Single Gene Mutation,2,0,3
ENSG00000253729,"Rare Single Gene Mutation, Syndromic, Functional",3,0,6
ENSG00000100033,"Syndromic, Genetic Association",S,1,6
ENSG00000185246,Rare Single Gene Mutation,3,0,3
ENSG00000126464,"Rare Single Gene Mutation, Syndromic",S,1,5
ENSG00000106772,"Rare Single Gene Mutation, Syndromic",3,0,9
ENSG00000185345,"Rare Single Gene Mutation, Genetic Association",2,0,15
ENSG00000156011,"Rare Single Gene Mutation, Genetic Association",3,0,6
ENSG00000197170,Syndromic,1,1,3
ENSG00000117569,"Rare Single Gene Mutation, Genetic Association",3,0,5
ENSG00000165186,"Rare Single Gene Mutation, Genetic Association",1,0,13
ENSG00000171862,"Rare Single Gene Mutation, Syndromic, Functional",1,1,68
,Rare Single Gene Mutation,2,0,3
ENSG00000148606,"Rare Single Gene Mutation, Syndromic",S,1,8
ENSG00000005421,Genetic Association,2,0,5
ENSG00000108819,Rare Single Gene Mutation,1,0,2
ENSG00000138814,"Rare Single Gene Mutation, Syndromic",S,1,9
ENSG00000011485,Rare Single Gene Mutation,1,0,2
ENSG00000073756,"Rare Single Gene Mutation, Genetic Association, Functional",3,0,7
ENSG00000112655,Rare Single Gene Mutation,1,0,5
ENSG00000179295,"Rare Single Gene Mutation, Syndromic, Functional",1,1,20
ENSG00000127329,"Rare Single Gene Mutation, Genetic Association",3,0,3
ENSG00000081237,"Rare Single Gene Mutation, Genetic Association",3,0,9
ENSG00000196090,"Rare Single Gene Mutation, Functional",3,0,9
ENSG00000130508,"Rare Single Gene Mutation, Syndromic",3,0,6
ENSG00000163564,Rare Single Gene Mutation,2,0,4
ENSG00000198218,"Rare Single Gene Mutation, Syndromic",2,0,11
ENSG00000131771,Genetic Association,3,0,1
ENSG00000135631,"Rare Single Gene Mutation, Functional",3,0,6
ENSG00000104388,Rare Single Gene Mutation,2,0,8
ENSG00000155961,"Rare Single Gene Mutation, Syndromic, Functional",3,0,15
ENSG00000172780,Rare Single Gene Mutation,2,0,2
ENSG00000136238,"Syndromic, Functional",S,1,5
ENSG00000164754,Syndromic,S,1,4
ENSG00000244588,Rare Single Gene Mutation,3,0,2
ENSG00000108557,"Rare Single Gene Mutation, Syndromic, Functional",1,1,26
ENSG00000006451,"Rare Single Gene Mutation, Syndromic",S,1,4
ENSG00000170471,Rare Single Gene Mutation,1,0,5
ENSG00000204764,Rare Single Gene Mutation,2,0,6
ENSG00000091428,Rare Single Gene Mutation,3,0,17
ENSG00000266094,"Rare Single Gene Mutation, Genetic Association",3,0,3
ENSG00000078328,"Rare Single Gene Mutation, Genetic Association",2,0,38
ENSG00000091009,Rare Single Gene Mutation,2,0,3
ENSG00000165476,Rare Single Gene Mutation,3,0,3
ENSG00000189056,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1,0,56
ENSG00000142599,"Rare Single Gene Mutation, Syndromic, Genetic Association",1,1,7
ENSG00000080298,"Rare Single Gene Mutation, Syndromic",1,0,8
ENSG00000111783,"Rare Single Gene Mutation, Syndromic",S,1,2
ENSG00000182901,Rare Single Gene Mutation,3,0,6
ENSG00000106615,Syndromic,S,1,1
ENSG00000079841,"Rare Single Gene Mutation, Genetic Association",1,0,8
ENSG00000117016,Rare Single Gene Mutation,3,0,4
ENSG00000131263,"Rare Single Gene Mutation, Syndromic",S,1,5
ENSG00000181481,"Rare Single Gene Mutation, Syndromic, Genetic Association",S,1,4
ENSG00000163481,Rare Single Gene Mutation,3,0,2
ENSG00000137075,Rare Single Gene Mutation,3,0,2
ENSG00000185008,"Rare Single Gene Mutation, Genetic Association, Functional",2,0,8
ENSG00000069667,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",S,1,18
ENSG00000198963,"Rare Single Gene Mutation, Syndromic, Functional",1,0,9
ENSG00000147403,"Rare Single Gene Mutation, Syndromic",3,0,13
ENSG00000071242,Rare Single Gene Mutation,3,0,4
ENSG00000177189,"Rare Single Gene Mutation, Syndromic",S,1,13
ENSG00000142230,Rare Single Gene Mutation,2,0,3
ENSG00000187634,Rare Single Gene Mutation,3,0,2
ENSG00000111961,Rare Single Gene Mutation,3,0,2
ENSG00000119042,"Rare Single Gene Mutation, Syndromic, Genetic Association",S,1,37
,Rare Single Gene Mutation,3,0,1
ENSG00000100241,Rare Single Gene Mutation,2,0,9
ENSG00000184178,Rare Single Gene Mutation,3,0,2
ENSG00000144285,"Rare Single Gene Mutation, Syndromic, Genetic Association",1,1,72
ENSG00000136531,"Rare Single Gene Mutation, Syndromic, Functional",1,0,83
ENSG00000181827,"Rare Single Gene Mutation, Syndromic",S,1,3
ENSG00000176406,"Rare Single Gene Mutation, Syndromic, Genetic Association",S,1,3
ENSG00000174891,"Syndromic, Genetic Association",S,1,7
ENSG00000182568,"Rare Single Gene Mutation, Syndromic",1,0,4
ENSG00000156304,"Rare Single Gene Mutation, Syndromic",2,0,3
ENSG00000007314,Rare Single Gene Mutation,3,0,4
ENSG00000196876,"Rare Single Gene Mutation, Syndromic",1,0,44
ENSG00000169432,Rare Single Gene Mutation,2,0,5
ENSG00000116171,Rare Single Gene Mutation,3,0,2
ENSG00000169439,"Rare Single Gene Mutation, Genetic Association",3,0,4
ENSG00000112902,"Rare Single Gene Mutation, Genetic Association, Functional",2,0,17
ENSG00000119335,Rare Single Gene Mutation,2,0,5
ENSG00000152217,"Rare Single Gene Mutation, Syndromic",1,0,21
ENSG00000139718,"Rare Single Gene Mutation, Syndromic, Functional",S,1,14
ENSG00000181555,"Rare Single Gene Mutation, Syndromic",1,0,16
ENSG00000168137,"Rare Single Gene Mutation, Syndromic",1,1,29
ENSG00000143379,Rare Single Gene Mutation,3,0,4
ENSG00000136169,"Rare Single Gene Mutation, Syndromic",3,0,2
ENSG00000174938,"Rare Single Gene Mutation, Genetic Association",3,0,6
ENSG00000115524,Rare Single Gene Mutation,3,0,5
ENSG00000181523,"Rare Single Gene Mutation, Syndromic",S,1,6
ENSG00000100359,Rare Single Gene Mutation,3,0,5
ENSG00000172985,Rare Single Gene Mutation,3,0,3
ENSG00000161681,"Rare Single Gene Mutation, Genetic Association",2,0,9
ENSG00000162105,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1,0,41
ENSG00000101883,Genetic Association,3,0,3
ENSG00000099381,"Rare Single Gene Mutation, Syndromic",S,1,3
ENSG00000251322,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1,1,107
ENSG00000152214,Genetic Association,3,0,3
ENSG00000106366,Genetic Association,3,0,2
ENSG00000185960,Rare Single Gene Mutation,2,0,2
ENSG00000142178,"Rare Single Gene Mutation, Syndromic, Functional",S,1,6
ENSG00000169375,"Rare Single Gene Mutation, Syndromic",1,1,14
ENSG00000124140,Rare Single Gene Mutation,2,0,6
ENSG00000106688,"Rare Single Gene Mutation, Genetic Association",3,0,12
ENSG00000110436,"Rare Single Gene Mutation, Genetic Association, Functional",S,1,7
ENSG00000163393,Genetic Association,3,0,1
ENSG00000149742,Rare Single Gene Mutation,3,0,4
ENSG00000155886,Rare Single Gene Mutation,3,0,3
,"Genetic Association, Functional",2,0,4
ENSG00000127511,"Rare Single Gene Mutation, Syndromic",S,1,4
ENSG00000157933,Rare Single Gene Mutation,1,0,3
ENSG00000115840,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",3,0,24
ENSG00000153291,Genetic Association,3,0,1
ENSG00000013306,Rare Single Gene Mutation,3,0,3
ENSG00000167114,"Rare Single Gene Mutation, Syndromic",3,0,2
ENSG00000164638,Rare Single Gene Mutation,3,0,1
ENSG00000121073,Genetic Association,2,0,1
ENSG00000157637,Rare Single Gene Mutation,2,0,2
ENSG00000162426,"Rare Single Gene Mutation, Syndromic",S,1,3
ENSG00000144290,"Rare Single Gene Mutation, Genetic Association",3,0,6
ENSG00000157103,"Rare Single Gene Mutation, Syndromic, Genetic Association",1,1,39
ENSG00000142319,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",2,0,16
ENSG00000108576,"Rare Single Gene Mutation, Genetic Association",3,0,26
ENSG00000130821,"Rare Single Gene Mutation, Syndromic",3,0,17
ENSG00000165349,Rare Single Gene Mutation,2,0,2
ENSG00000103257,"Rare Single Gene Mutation, Functional",2,0,4
ENSG00000155465,Rare Single Gene Mutation,3,0,3
ENSG00000198689,"Rare Single Gene Mutation, Syndromic, Functional",1,1,19
ENSG00000181804,"Rare Single Gene Mutation, Genetic Association, Functional",3,0,13
ENSG00000111700,Rare Single Gene Mutation,3,0,4
ENSG00000165300,"Rare Single Gene Mutation, Functional",2,0,9
ENSG00000141646,Rare Single Gene Mutation,2,0,7
ENSG00000080503,"Rare Single Gene Mutation, Syndromic, Genetic Association",S,1,22
ENSG00000127616,"Rare Single Gene Mutation, Syndromic",1,0,13
ENSG00000139613,"Rare Single Gene Mutation, Syndromic, Functional",1,1,14
ENSG00000072501,"Rare Single Gene Mutation, Syndromic",S,1,10
ENSG00000108055,"Rare Single Gene Mutation, Syndromic",S,1,10
ENSG00000070366,Rare Single Gene Mutation,3,0,2
ENSG00000198742,Rare Single Gene Mutation,3,0,2
ENSG00000132639,"Rare Single Gene Mutation, Genetic Association",3,0,7
ENSG00000197157,"Rare Single Gene Mutation, Genetic Association",3,0,8
ENSG00000172554,Rare Single Gene Mutation,3,0,6
ENSG00000135317,"Rare Single Gene Mutation, Syndromic",S,1,7
ENSG00000089006,Rare Single Gene Mutation,2,0,3
ENSG00000142168,"Rare Single Gene Mutation, Genetic Association, Functional",3,0,3
ENSG00000159140,"Rare Single Gene Mutation, Syndromic, Functional",1,0,16
ENSG00000134532,"Rare Single Gene Mutation, Syndromic, Genetic Association",1,1,14
ENSG00000152583,"Rare Single Gene Mutation, Functional",2,0,3
ENSG00000021574,"Rare Single Gene Mutation, Syndromic",1,0,14
ENSG00000065526,"Rare Single Gene Mutation, Syndromic",2,0,12
ENSG00000072080,Rare Single Gene Mutation,3,0,4
ENSG00000080603,"Rare Single Gene Mutation, Syndromic",1,0,6
ENSG00000196220,Rare Single Gene Mutation,3,0,5
ENSG00000116754,Rare Single Gene Mutation,2,0,4
ENSG00000149136,Rare Single Gene Mutation,3,0,2
ENSG00000004866,Rare Single Gene Mutation,3,0,4
ENSG00000140557,"Rare Single Gene Mutation, Genetic Association",2,0,9
ENSG00000118007,"Rare Single Gene Mutation, Syndromic",S,1,5
ENSG00000106089,"Rare Single Gene Mutation, Genetic Association",3,0,6
ENSG00000136854,"Rare Single Gene Mutation, Syndromic, Functional",1,1,54
ENSG00000156395,"Rare Single Gene Mutation, Syndromic, Genetic Association",2,0,6
,"Rare Single Gene Mutation, Syndromic",1,0,4
ENSG00000110693,"Rare Single Gene Mutation, Syndromic",S,1,2
ENSG00000115306,"Rare Single Gene Mutation, Syndromic",S,1,6
ENSG00000164506,Rare Single Gene Mutation,2,0,6
ENSG00000060140,"Rare Single Gene Mutation, Genetic Association",3,0,2
ENSG00000169895,Rare Single Gene Mutation,3,0,2
ENSG00000008056,"Rare Single Gene Mutation, Functional",1,0,23
ENSG00000157152,"Rare Single Gene Mutation, Genetic Association, Functional",3,0,6
ENSG00000135316,"Rare Single Gene Mutation, Syndromic",3,0,8
ENSG00000131018,"Rare Single Gene Mutation, Genetic Association",S,1,17
ENSG00000197283,"Rare Single Gene Mutation, Syndromic, Functional",1,1,70
ENSG00000182934,Rare Single Gene Mutation,1,0,2
ENSG00000159082,Rare Single Gene Mutation,3,0,1
ENSG00000067715,"Rare Single Gene Mutation, Syndromic",S,1,4
ENSG00000147133,"Rare Single Gene Mutation, Syndromic",S,1,12
ENSG00000103168,"Rare Single Gene Mutation, Genetic Association",3,0,2
ENSG00000106290,Rare Single Gene Mutation,2,0,3
ENSG00000170921,"Rare Single Gene Mutation, Syndromic",1,0,12
ENSG00000160551,"Rare Single Gene Mutation, Syndromic",1,0,4
ENSG00000149930,"Rare Single Gene Mutation, Functional",2,0,7
ENSG00000036054,"Rare Single Gene Mutation, Syndromic",S,1,3
ENSG00000156787,Rare Single Gene Mutation,2,0,4
ENSG00000131374,"Rare Single Gene Mutation, Genetic Association",3,0,8
ENSG00000145348,"Rare Single Gene Mutation, Syndromic",1,0,2
ENSG00000177565,"Rare Single Gene Mutation, Syndromic",1,0,26
ENSG00000136535,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1,0,36
ENSG00000184058,"Syndromic, Functional",S,1,5
ENSG00000100207,"Rare Single Gene Mutation, Syndromic",1,1,12
ENSG00000196628,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1,1,56
ENSG00000198648,Genetic Association,3,0,5
ENSG00000092201,Rare Single Gene Mutation,S,1,7
ENSG00000147642,Rare Single Gene Mutation,3,0,1
ENSG00000171772,Rare Single Gene Mutation,3,0,1
ENSG00000102003,Rare Single Gene Mutation,3,0,3
ENSG00000103528,Genetic Association,3,0,2
ENSG00000101849,Genetic Association,3,0,1
ENSG00000122145,Rare Single Gene Mutation,3,0,2
ENSG00000148737,"Rare Single Gene Mutation, Syndromic",1,0,8
ENSG00000109927,Rare Single Gene Mutation,3,0,7
ENSG00000120156,Rare Single Gene Mutation,1,0,2
ENSG00000132604,Rare Single Gene Mutation,2,0,4
ENSG00000168769,Rare Single Gene Mutation,2,0,4
ENSG00000187605,"Rare Single Gene Mutation, Syndromic",S,1,3
ENSG00000162851,Rare Single Gene Mutation,3,0,1
ENSG00000137801,"Rare Single Gene Mutation, Genetic Association",3,0,4
ENSG00000126351,"Rare Single Gene Mutation, Functional",3,0,5
ENSG00000146872,"Rare Single Gene Mutation, Syndromic",1,1,17
ENSG00000167014,Rare Single Gene Mutation,3,0,1
ENSG00000151790,Genetic Association,3,0,4
ENSG00000145107,Rare Single Gene Mutation,3,0,3
ENSG00000168955,Rare Single Gene Mutation,S,1,1
ENSG00000121775,Rare Single Gene Mutation,3,0,4
ENSG00000185973,"Rare Single Gene Mutation, Genetic Association",2,0,5
ENSG00000100354,"Rare Single Gene Mutation, Syndromic",2,0,13
ENSG00000100038,"Rare Single Gene Mutation, Genetic Association, Functional",3,0,6
ENSG00000131653,"Rare Single Gene Mutation, Syndromic",S,1,7
ENSG00000182400,"Rare Single Gene Mutation, Syndromic",S,1,5
ENSG00000167632,"Rare Single Gene Mutation, Syndromic",2,0,15
ENSG00000038382,"Rare Single Gene Mutation, Syndromic",1,0,31
ENSG00000153827,"Rare Single Gene Mutation, Syndromic",1,1,22
ENSG00000137672,Rare Single Gene Mutation,2,0,3
ENSG00000134160,Rare Single Gene Mutation,2,0,4
ENSG00000196367,"Rare Single Gene Mutation, Syndromic",S,1,9
ENSG00000165699,"Rare Single Gene Mutation, Syndromic, Functional",1,1,25
ENSG00000103197,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1,1,39
ENSG00000121297,"Rare Single Gene Mutation, Functional",1,0,3
ENSG00000048140,Rare Single Gene Mutation,3,0,3
ENSG00000214063,Rare Single Gene Mutation,3,0,4
ENSG00000156298,Rare Single Gene Mutation,3,0,8
ENSG00000129696,Rare Single Gene Mutation,S,1,2
ENSG00000155657,"Rare Single Gene Mutation, Syndromic",S,1,23
ENSG00000275835,Rare Single Gene Mutation,3,0,4
ENSG00000114062,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1,1,36
ENSG00000009335,Rare Single Gene Mutation,2,0,4
ENSG00000157741,Rare Single Gene Mutation,2,0,4
ENSG00000104517,Rare Single Gene Mutation,2,0,8
ENSG00000087206,Rare Single Gene Mutation,3,0,5
ENSG00000005379,Rare Single Gene Mutation,3,0,5
ENSG00000101337,Rare Single Gene Mutation,1,0,2
ENSG00000172663,Rare Single Gene Mutation,3,0,1
ENSG00000115705,Genetic Association,3,0,1
ENSG00000167515,"Rare Single Gene Mutation, Syndromic",3,0,3
ENSG00000113595,Rare Single Gene Mutation,1,0,4
ENSG00000119401,"Rare Single Gene Mutation, Functional",3,0,3
ENSG00000197323,Genetic Association,3,0,1
ENSG00000186591,Genetic Association,3,0,2
ENSG00000130477,"Rare Single Gene Mutation, Syndromic",S,1,8
ENSG00000156687,Rare Single Gene Mutation,3,0,3
ENSG00000133958,"Rare Single Gene Mutation, Functional",2,0,6
ENSG00000144406,Rare Single Gene Mutation,3,0,6
ENSG00000151461,"Rare Single Gene Mutation, Functional",3,0,9
ENSG00000125351,"Rare Single Gene Mutation, Syndromic",1,1,17
ENSG00000042781,Rare Single Gene Mutation,3,0,7
ENSG00000135655,Rare Single Gene Mutation,2,0,3
ENSG00000123552,Rare Single Gene Mutation,2,0,3
ENSG00000111077,Rare Single Gene Mutation,3,0,1
ENSG00000187555,"Rare Single Gene Mutation, Syndromic",S,1,8
ENSG00000124486,"Rare Single Gene Mutation, Syndromic, Functional",S,1,11
ENSG00000114374,"Rare Single Gene Mutation, Genetic Association",3,0,2
ENSG00000220205,"Rare Single Gene Mutation, Syndromic",S,1,3
ENSG00000071246,Genetic Association,3,0,4
ENSG00000111424,"Genetic Association, Functional",3,0,10
ENSG00000127831,Rare Single Gene Mutation,2,0,3
ENSG00000132549,"Rare Single Gene Mutation, Syndromic",1,1,21
ENSG00000155659,Rare Single Gene Mutation,3,0,2
ENSG00000095787,"Rare Single Gene Mutation, Syndromic",1,1,21
ENSG00000112290,Syndromic,S,1,3
ENSG00000163625,"Rare Single Gene Mutation, Syndromic, Functional",1,0,20
ENSG00000128815,Rare Single Gene Mutation,2,0,7
ENSG00000162923,"Rare Single Gene Mutation, Syndromic",S,1,6
ENSG00000196632,Rare Single Gene Mutation,3,0,6
ENSG00000125084,Genetic Association,3,0,3
ENSG00000186153,"Rare Single Gene Mutation, Syndromic",2,0,10
ENSG00000154767,"Rare Single Gene Mutation, Syndromic",S,1,11
ENSG00000082898,"Rare Single Gene Mutation, Genetic Association",3,0,7
ENSG00000163872,"Rare Single Gene Mutation, Genetic Association",3,0,2
ENSG00000047188,"Rare Single Gene Mutation, Genetic Association",3,0,5
ENSG00000108953,Rare Single Gene Mutation,3,0,5
ENSG00000159459,Rare Single Gene Mutation,1,0,1
ENSG00000136451,Rare Single Gene Mutation,1,0,3
ENSG00000204396,Rare Single Gene Mutation,3,0,1
ENSG00000123124,Rare Single Gene Mutation,3,0,2
ENSG00000196419,Rare Single Gene Mutation,3,0,2
ENSG00000170027,"Rare Single Gene Mutation, Syndromic",S,1,9
ENSG00000100811,"Rare Single Gene Mutation, Syndromic, Functional",1,1,5
ENSG00000109906,"Rare Single Gene Mutation, Genetic Association, Functional",3,0,3
ENSG00000181722,"Rare Single Gene Mutation, Syndromic",1,1,26
ENSG00000058673,Rare Single Gene Mutation,3,0,3
ENSG00000130749,Rare Single Gene Mutation,2,0,4
ENSG00000072121,Rare Single Gene Mutation,3,0,4
ENSG00000108175,"Rare Single Gene Mutation, Syndromic",S,1,5
ENSG00000121741,"Rare Single Gene Mutation, Syndromic",S,1,6
ENSG00000015171,"Rare Single Gene Mutation, Syndromic",2,0,13
ENSG00000154957,Rare Single Gene Mutation,3,0,1
ENSG00000188994,"Rare Single Gene Mutation, Syndromic",1,0,7
ENSG00000101040,Rare Single Gene Mutation,1,0,5
ENSG00000144331,Genetic Association,3,0,2
ENSG00000148143,"Rare Single Gene Mutation, Syndromic",1,1,10
ENSG00000197363,Rare Single Gene Mutation,3,0,3
ENSG00000188785,Rare Single Gene Mutation,3,0,3
ENSG00000188321,Rare Single Gene Mutation,3,0,6
ENSG00000188171,Rare Single Gene Mutation,3,0,2
ENSG00000178665,Rare Single Gene Mutation,3,0,2
ENSG00000196391,Rare Single Gene Mutation,3,0,3
ENSG00000170396,"Rare Single Gene Mutation, Genetic Association, Functional",2,0,15
ENSG00000151612,Genetic Association,3,0,1
ENSG00000130449,"Rare Single Gene Mutation, Syndromic, Genetic Association",S,1,4
ENSG00000174442,Rare Single Gene Mutation,3,0,4
ENSG00000172354,"Support,Primary",S,1,4
ENSG00000178951,Primary,S,1,1
ENSG00000114480,"Support,Primary",3,0,2
ENSG00000048740,"Support,Primary,Recent Recommendation",3,1,3
ENSG00000177301,"Support,Primary",S,1,6
ENSG00000068323,"Support,Primary,Recent Recommendation",S,1,4
ENSG00000168298,"Support,Primary,Recent Recommendation",S,1,6
ENSG00000088179,"Support,Primary",S,1,3
ENSG00000103657,"Support,Primary",3,1,9
ENSG00000125675,"Support,Primary",S,1,6
